,sigma_e,sigma_eta,delta,share_sigma_e,share_sigma_eta,share_delta
HAAR_v1_over_RV1_log1p,0.5684369761643964,0.5682786724441702,0.5957131559687735,0.32811563434074253,0.3280242575870152,0.34386010807166506
HAAR_v2_over_RV1_log1p,0.2740672561343058,0.25537523834146664,0.6850441643030821,0.2256651023319186,0.21027422285398487,0.564060674813273
HAAR_v3_over_RV1_log1p,0.44795026408875227,0.43175610127495817,0.9242971831237835,0.2483089706026758,0.23933217960502917,0.5123588497917407
HAAR_v4_over_RV1_log1p,0.47404288814734924,0.4544546037835223,0.7843638088915283,0.2767549759688477,0.2653189744931821,0.4579260495373864
HAAR_v1_over_v2,0.5782607457864916,0.5731495165943962,0.5986250413269474,0.33042804597198033,0.32750740249623833,0.34206455153120985
HAAR_v1_over_v3,0.5557399222894046,0.5502127590530818,0.5901994452088002,0.32764745189397554,0.32438880359834316,0.3479637445070918
HAAR_v1_over_v4,0.5519052049241652,0.5362721468283238,0.6773959227204931,0.31259263656932873,0.3037382557730976,0.3836691076570073
LOG_a,0.3082654043272454,0.2316052791666119,0.6291317844146047,0.2636995325412095,0.1981221473217193,0.5381783201362157
HALF_LOG_a,0.3082654043272454,0.2316052791666119,0.6291317844146047,0.2636995325412095,0.1981221473217193,0.5381783201362157
VARFIT_SLOPE_10_50,1.0347364845232787,0.013278182803256348,0.016991832661614362,0.9715776237364004,0.012467701186229032,0.01595467507643144
VAR_CURV_10_20_30,1.5523474875560563,0.7387008612975055,1.3514095641897723,0.4261813107014373,0.20280285426279798,0.37101583503549007
VARFIT_TS_SLOPE_10_50,1.0296405326816656,0.01318091460613723,0.016497914864352568,0.971983114316758,0.012442814770557878,0.015574070911740132
LOG_deltaHat21,0.05748746548046436,0.03383543931167068,1.0246862608553235,0.05151164278033611,0.03031824500474469,0.918170112214023
LOG_deltaHat31,0.10478116228466448,0.06788254116406223,1.5400501221593381,0.061178441323904674,0.039634491267052305,0.899187067408459
HALF_LOG_deltaHat21,0.05748746548046436,0.03383543931167068,1.0246862608553235,0.05151164278033611,0.03031824500474469,0.918170112214023
HALF_LOG_deltaHat31,0.10478116228466448,0.06788254116406223,1.5400501221593381,0.061178441323904674,0.039634491267052305,0.899187067408459
HL_PROXY21_log1p,0.06774633651519335,0.044825721660389894,1.1762325615755662,0.052565249594016566,0.034780851165020145,0.9126538992401874
HL_PROXY31_log1p,0.08832095088107474,0.05895742220372639,1.2771638135962278,0.062003885946962746,0.04138983158106027,0.8966062824712749
PROXY_a_sqrtNegLogRatio_21_log1p,0.24772822067454262,0.2403423596941132,0.5100965077506887,0.24818311846069918,0.24078369498908603,0.5110331865492129
PROXY_a_sqrtNegLogRatio_31_log1p,0.2518674208039372,0.22639785738994705,0.49662656776104036,0.25835421831533534,0.2322286911405582,0.5094170905430807
VR10_D2,0.37817100110797724,0.3717392847313547,0.8365851384215386,0.23836879408834363,0.23431475379407998,0.5273164521169459
VR50_D2,0.376545160998555,0.3489808651749718,0.8632055666380958,0.2370099283617414,0.2196600525562351,0.543330019081394
VR_SLOPE_10_50_D2,0.4252695526837986,0.29725749635685794,0.7658046139502894,0.28573574241435723,0.19972530568844488,0.514538951896526
VR_AREA_DEF_5_50_D2,0.41841693247996986,0.3967254373079134,0.9670118733373874,0.23478154828281259,0.22261004558840772,0.5426084061282185
ACF_LAG1_D2,0.5743017636552395,0.5595805784260607,0.8122280046402779,0.2951023638625705,0.28753794941198674,0.41735968672492885
ACF_LAG2_D2,0.24622960727188556,0.2274644358033762,0.6198300968218301,0.22517071026418517,0.20801043845687223,0.566818851278028
ACF_LAG3_D2,0.1985589118895543,0.1635480967609191,0.5300101326169255,0.2225704480997262,0.18332580912904425,0.5941037427701086
ACF_LAG4_D2,0.21233619295079317,0.162909036540924,0.47307459622198467,0.250302051790316,0.19203728547034085,0.5576606627381643
ACF_LAG5_D2,0.29406613283895333,0.218994916437859,0.5183640292937415,0.285106634450088,0.21232266015981546,0.5025707053891268
MA3_VAR_D2,0.9019865718734762,0.05176968955961072,0.2326528256075866,0.7602660681928788,0.04363561449845189,0.19609831730782626
MA3_VAR_over_RV1_D2,0.4659872048309362,0.45905658703962715,0.8043182285581852,0.26945613430040394,0.26544851894315974,0.46509534675585806
MA5_VAR_D2,0.9602245949426436,0.0325105118863969,0.1550882145097118,0.8365613218433814,0.028323620266270822,0.13511505788947648
MA5_VAR_over_RV1_D2,0.416740146467131,0.4135812792296885,0.8449305372090512,0.24876266716560658,0.2468770599212126,0.5043602729125839
MA8_VAR_D2,1.007334755212335,0.02482465816893329,0.10031322011851997,0.889500307039105,0.021920757671815304,0.08857893528819664
MA8_VAR_over_RV1_D2,0.3848330934888562,0.375571336080178,0.8300047240389224,0.2419711258675749,0.23614761976685775,0.5218812543649385
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.28824851146238845,0.2555037141987263,0.675163593839659,0.23647942446116477,0.20961555351965347,0.5539050220183613
ACFCONTR_L1_D2_minus_D1,0.97406619400619,0.9764971426127298,1.0200791685024955,0.3278974808737716,0.32871580505864,0.34338671406725185
ACFCONTR_L2_D2_minus_D1,0.6272621833215566,0.6193254312840772,1.1063213837430403,0.26659007371790283,0.26321690797156666,0.47019301831010546
ACFCONTR_L3_D2_minus_D1,0.4694707636203754,0.4513276671912782,1.113825878035855,0.23074076210466166,0.22182358936166754,0.5474356485331793
ACFCONTR_L4_D2_minus_D1,0.4059922673101435,0.3745490940404261,1.000429719715285,0.22796117894679235,0.2103061066078962,0.5617327144447499
ACFCONTR_L5_D2_minus_D1,0.41577453213004606,0.3550651874849801,0.9224027252801422,0.2455493207031801,0.2096954210870571,0.5447552582091721
MA3_VAR_over_RV1_CONTR_D2_minus_D1,0.885733926659666,0.8873002786487361,1.1566688460514138,0.30232890881150976,0.30286355411910926,0.3948075370690396
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.6821770815910395,0.6844744484274283,0.9799212163287446,0.29071209603565806,0.2916911267688685,0.41759677719504723
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.5489789921457516,0.5591238731335701,0.9425492328175658,0.26770947283303936,0.27265662159475695,0.459633905571716
VR10_D5,0.35983312919332255,0.30162627066358455,0.7958096927102284,0.24692291288439464,0.2069804898778376,0.5460965972370815
VR50_D5,0.45363801558571937,0.35719395657060815,0.8408119261939604,0.2746584878487137,0.2162657198244537,0.5090757923262271
