,semi_sigma_e,share_sigma_e,score_sigma_e
HAAR_v1_over_v4,0.5519052049241652,0.31259263656932873,0.17252150314358047
ACF_LAG1_D2,0.5743017636552395,0.2951023638625705,0.16947780802510445
MA8_RESID_VAR_log1p,0.4745284379347382,0.35545994619387766,0.16867585301574686
MA5_VAR_over_RV1_CONTR_D5_minus_D1,0.6250257307925832,0.268151231046305,0.1676014191476476
ACFCONTR_L2_D2_minus_D1,0.6272621833215566,0.26659007371790283,0.16722187169214645
ACC3_OVER_ACC2_RATIO_g2_log1p,0.5484282648311768,0.29674430691188064,0.1627429653382129
BP_HF_over_MID_log1p,0.5506260419634785,0.29536356420241017,0.16263487029699888
MA5_VAR_over_RV1_CONTR_D8_minus_D1,0.6000207575215663,0.2664152210018694,0.15985466272081714
MA5_VAR_over_RV1_log1p,0.5132242764302007,0.30622258301126354,0.1571608635925428
BP_HF_log1p,0.4339969586416172,0.357622319735832,0.15520699910771107
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.5489789921457516,0.26770947283303936,0.14696687658375243
MA5_RESID_VAR_over_RV1_log1p,0.4845192364803642,0.2969793929016857,0.14389222869912685
VR10_log1p,0.49515843437867735,0.2903303692700857,0.14375953110035888
MA5_RESID_VAR_log1p,0.4267247625824694,0.3269120205721397,0.13950145436400166
AR1_R2,0.45870895759750535,0.28719311325464686,0.13173805361022137
VR20_log1p,0.48024872212393316,0.2739957357148112,0.13158610194444498
HAAR_v4_over_RV1_log1p,0.47404288814734924,0.2767549759688477,0.13119372811742278
MA8_VAR_over_RV1_log1p,0.4605139380573973,0.282427235489151,0.13006167842977284
VR_AREA_DEF_5_50_D8,0.43817171706903973,0.2945287484556088,0.1290541674369894
MA8_VAR_over_RV1_CONTR_D5_minus_D1,0.5195334530271618,0.2463909058954779,0.1280083181343681
ACFCONTR_L2_D5_minus_D1,0.5350470334031927,0.2374625480105974,0.12705363185743337
VR30_log1p,0.4690279702554782,0.26879548455147545,0.12607260053301628
MA8_VAR_over_RV1_CONTR_D8_minus_D1,0.5094734395695677,0.24659170854961052,0.12563192592410644
MA3_VAR_over_RV1_D2,0.4659872048309362,0.26945613430040394,0.12556311084719457
ACFCONTR_L2_D8_minus_D1,0.5314229728566219,0.2358768415408685,0.12535037235967866
VR50_D5,0.45363801558571937,0.2746584878487137,0.12459553139146491
VR100_log1p,0.4657722399997334,0.26587128598573917,0.12383546442518746
VR50_log1p,0.4635967031184083,0.2646243748449041,0.12267898774286738
BP_HF_over_LF_log1p,0.46761655235138755,0.2609401461835382,0.12201993152841323
VR_SLOPE_10_50_D2,0.4252695526837986,0.28573574241435723,0.1215147113623268
ACF_LAG2_Z,0.4422711326401469,0.27228040043161933,0.12042176109460502
MA8_RESID_VAR_over_RV1_log1p,0.4347322317349415,0.27090348193576075,0.11777047528669969
VR10_D8,0.42162788063557455,0.27559644749485657,0.11619914606794977
ACC3_OVER_ACC2_RATIO_g4_log1p,0.45478842964693333,0.25463021704916644,0.1158028765524482
HAAR_v3_over_RV1_log1p,0.44795026408875227,0.2483089706026758,0.11123006895707484
ACCVAR_NORM_g6_log1p,0.4192138540862488,0.2652864657439824,0.11121176174145447
ACCVAR_NORM_g4_log1p,0.44396655987626465,0.2468444685167896,0.109590689511884
ACFCONTR_L3_D2_minus_D1,0.4694707636203754,0.23074076210466166,0.10832604178362289
MA8_VAR_over_RV1_D8,0.4002995255490274,0.2693663990254384,0.107827241728733
VR_AREA_DEF_5_50_D5,0.4055312108410704,0.2632154888782523,0.10674209591692196
MA3_RESID_VAR_log1p,0.370803950916228,0.2861221186305729,0.10609521203273811
MA5_VAR_over_RV1_D2,0.416740146467131,0.24876266716560658,0.10366939035014903
ACC3_OVER_ACC2_RATIO_g6_log1p,0.40235795692358983,0.2570291383043252,0.1034177189579591
ACFCONTR_L5_D2_minus_D1,0.41577453213004606,0.2455493207031801,0.10209315393021534
VR_AREA_DEF_5_50_D2,0.41841693247996986,0.23478154828281259,0.09823657523539238
ACC3VAR_NORM_g4_log1p,0.4151027126742491,0.23528120219620413,0.09766586527290283
ACC3VAR_NORM_g6_log1p,0.3929133810060951,0.24015350459095985,0.09435952544929681
MA8_VAR_over_RV1_D2,0.3848330934888562,0.2419711258675749,0.09311849690260024
ACFCONTR_L4_D2_minus_D1,0.4059922673101435,0.22796117894679235,0.09255047589930157
MA5_VAR_over_RV1_D8,0.35857572225924267,0.2538112839174396,0.09101056444824161
VR10_D2,0.37817100110797724,0.23836879408834363,0.0901441654932902
MA3_VAR_over_RV1_D5,0.37181574648405136,0.24094438830228948,0.0895869175977589
VR50_D2,0.376545160998555,0.2370099283617414,0.08924494163322791
VR10_D5,0.35983312919332255,0.24692291288439464,0.0888510444127219
ACF_LAG1_D5,0.3682818506856345,0.23926437091145328,0.08811672532240411
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.3370146205947495,0.25811401297239095,0.08698819615207859
MA8_VAR_over_RV1_D5,0.3538236433853144,0.24461429332516538,0.08655032048843402
ACFCONTR_L3_D5_minus_D1,0.3914210539011474,0.22092853723306524,0.08647608088060528
MA5_VAR_over_RV1_D5,0.35321495649985796,0.24401223252769902,0.08618877009770444
ACFCONTR_L3_D8_minus_D1,0.3795464242333725,0.22477475827457272,0.08531245576103473
ACF_LAG5_D2,0.29406613283895333,0.285106634450088,0.08384020543946648
ACF_LAG3_Z,0.32242782810355686,0.25749273427774905,0.08302282306562091
MA3_VAR_over_RV1_D8,0.33511669477453854,0.24264742027230413,0.08131520147722292
HALF_LOG_a,0.3082654043272454,0.2636995325412095,0.08128944301972155
LOG_a,0.3082654043272454,0.2636995325412095,0.08128944301972155
ACFCONTR_L4_D5_minus_D1,0.3600922926183305,0.22100214728354645,0.07958116988890618
ACFCONTR_L5_D8_minus_D1,0.3155857931169074,0.2491532726356131,0.07862923315238302
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.3109034641420359,0.2510855784001048,0.07806337612069933
ACF_LAG1_D8,0.32149186017888426,0.2427234924136685,0.07803362708518559
ACFCONTR_L4_D8_minus_D1,0.3328650927099554,0.23101583433815884,0.07689710711443894
ACC3VAR_NORM_g2_log1p,0.30499152638663857,0.24998712381560315,0.0762439544695264
ACFCONTR_L5_D5_minus_D1,0.32211619800608127,0.23155760781518062,0.07458845624880923
VR_CURV_10_30_50,0.29070660374289037,0.24603853647249607,0.07152502732779059
VR_SLOPE_10_50,0.2923522618507121,0.2393211530423335,0.06996608040064663
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.28824851146238845,0.23647942446116477,0.06816484209241308
PROXY_a_sqrtNegLogRatio_31_log1p,0.2518674208039372,0.25835421831533534,0.06507101062090083
ACF_LAG4_Z,0.24511000101665334,0.25232590039928493,0.0618476017033967
HAAR_v2_over_RV1_log1p,0.2740672561343058,0.2256651023319186,0.061847415401376275
PROXY_a_sqrtNegLogRatio_21_log1p,0.24772822067454262,0.24818311846069918,0.061481962337728235
ACF_LAG2_D5,0.24671428240112572,0.23335746598194476,0.05757261976268061
ACCVAR_NORM_g2_log1p,0.25429668655008086,0.21923104166989538,0.0557497274855771
ACF_LAG2_D2,0.24622960727188556,0.22517071026418517,0.05544369555748185
ACF_LAG4_D2,0.21233619295079317,0.250302051790316,0.05314818476492796
ACF_LAG5_Z,0.2122388648550812,0.2432340358301762,0.05162371565871674
ACF_LAG3_D2,0.1985589118895543,0.2225704480997262,0.044193345993452156
NEG_ACF_MASS_L1_5_log1p,0.15703444817443063,0.15893846662834007,0.02495881440067154
LOG_deltaHat31,0.10478116228466448,0.061178441323904674,0.00641034818868288
HALF_LOG_deltaHat31,0.10478116228466448,0.061178441323904674,0.00641034818868288
HL_PROXY31_log1p,0.08832095088107474,0.062003885946962746,0.005476242165157456
HL_PROXY21_log1p,0.06774633651519335,0.052565249594016566,0.003561103088001377
HALF_LOG_deltaHat21,0.05748746548046436,0.05151164278033611,0.0029612737861765834
LOG_deltaHat21,0.05748746548046436,0.05151164278033611,0.0029612737861765834
VR_AREA_DEF_5_50_log1p,0.0,0.0,0.0
