sigma_e,sigma_eta,delta,kappa,log10_kappa
0.005,0.011289510664171094,0.27499999999999997,63.16642131070307,1.8004862726670454
0.005,0.011289510664171094,0.35,96.22723035192256,1.9832979859480486
0.005,0.011289510664171094,0.425,285.9270807645407,2.4562552902640125
0.005,0.011289510664171094,0.49999999999999994,260.2244797873137,2.4153481490144744
0.005,0.011289510664171094,0.5750000000000001,188.14000469639114,2.274481150529868
0.005,0.011289510664171094,0.65,178.03923885900332,2.250515728948828
0.005,0.011289510664171094,0.725,188.39463054041676,2.2750685207503896
0.005,0.011289510664171094,0.8,206.3770694279234,2.3146614411424276
0.005,0.013286669764708835,0.05,43.528175471101406,1.6387704636324896
0.005,0.013286669764708835,0.125,17.236634120934752,1.2364524630304508
0.005,0.013286669764708835,0.2,20.655215771490933,1.3150297361258902
0.005,0.013286669764708835,0.27499999999999997,46.60875382163939,1.6684674913552298
0.005,0.013286669764708835,0.35,84.78024508160806,1.9282946676867452
0.005,0.013286669764708835,0.425,145.95031832333012,2.16420504653825
0.005,0.013286669764708835,0.49999999999999994,158.78148540495675,2.20079986046363
0.005,0.013286669764708835,0.5750000000000001,146.76304218219485,2.166616705463624
0.005,0.013286669764708835,0.65,153.5919149852534,2.186368355215643
0.005,0.013286669764708835,0.725,164.40603315589837,2.2159177506629053
0.005,0.013286669764708835,0.8,156.1501561192119,2.1935424227748523
0.005,0.015637134211378124,0.05,30.715333819333015,1.4873552396655598
0.005,0.015637134211378124,0.125,18.06973172574337,1.256951704808072
0.005,0.015637134211378124,0.2,14.704332743293108,1.167445321771976
0.005,0.015637134211378124,0.27499999999999997,21.6741801657718,1.3359426791025661
0.005,0.015637134211378124,0.35,63.78362981759178,1.8047092305684986
0.005,0.015637134211378124,0.425,100.66415029344384,2.0028748320057237
0.005,0.015637134211378124,0.49999999999999994,123.20353893157835,2.090623182799043
0.005,0.015637134211378124,0.5750000000000001,128.6386427225413,2.109371449149864
0.005,0.015637134211378124,0.65,135.8936300802156,2.133199099956567
0.005,0.015637134211378124,0.725,124.86807351413519,2.0964514114000465
0.005,0.015637134211378124,0.8,117.9634468230807,2.0717474538964953
0.005,0.018403405117671374,0.05,14.877674681855739,1.1725350581081089
0.005,0.018403405117671374,0.125,8.59807187090803,0.9344010710448066
0.005,0.018403405117671374,0.2,12.687652129529456,1.103381262636132
0.005,0.018403405117671374,0.27499999999999997,18.99792963872049,1.2787062748753992
0.005,0.018403405117671374,0.35,44.39507903191615,1.6473348334541218
0.005,0.018403405117671374,0.425,83.42633766702265,1.9213031789078803
0.005,0.018403405117671374,0.49999999999999994,97.02488373045858,1.9868831309765924
0.005,0.018403405117671374,0.5750000000000001,101.68857535787711,2.007272162974458
0.005,0.018403405117671374,0.65,102.10213053059684,2.0090348044574093
0.005,0.018403405117671374,0.725,103.17464829473651,2.01357299711412
0.005,0.018403405117671374,0.8,101.81958394542144,2.007831318093415
0.005,0.021659040291327404,0.05,12.597974172154089,1.1003007136421712
0.005,0.021659040291327404,0.125,8.796550725661557,0.9443124114150624
0.005,0.021659040291327404,0.2,7.116390901354857,0.8522597957411019
0.005,0.021659040291327404,0.27499999999999997,12.64452595600824,1.1019025522609787
0.005,0.021659040291327404,0.35,35.366425297719786,1.5485911652167554
0.005,0.021659040291327404,0.425,67.19706729247001,1.827350319385815
0.005,0.021659040291327404,0.49999999999999994,70.21507762691111,1.8464303803215625
0.005,0.021659040291327404,0.5750000000000001,77.24233917744186,1.8878554173144078
