,semi_sigma_eta,share_sigma_eta,score_sigma_eta
ACCVAR_NORM_g1_log1p,0.5672885453658119,0.3268159485660344,0.18539894406437366
HAAR_v1_over_v3,0.5502127590530818,0.32438880359834316,0.17848285863377264
MA3_VAR_over_RV1_log1p,0.5518017232673437,0.31512229776853923,0.17388502694864497
MA3_RESID_VAR_over_RV1_log1p,0.5329184986874569,0.3235721600122664,0.1724375897307946
MA5_VAR_over_RV1_CONTR_D5_minus_D1,0.6259649629822452,0.2685541844856407,0.16810551015028116
ACFCONTR_L2_D2_minus_D1,0.6193254312840772,0.26321690797156666,0.1630169250507518
HAAR_v1_over_v4,0.5362721468283238,0.3037382557730976,0.16288636649732957
MA5_VAR_over_RV1_CONTR_D8_minus_D1,0.6027134527948909,0.2676108046501695,0.1612926320759227
ACF_LAG1_D2,0.5595805784260607,0.28753794941198674,0.16090065205140291
ACC3_OVER_ACC2_RATIO_g2_log1p,0.5433315525990956,0.2939865709675018,0.15973218004705697
MA5_VAR_over_RV1_log1p,0.5121858018646438,0.305602962353277,0.15652549832512372
BP_HF_over_MID_log1p,0.5377457492061289,0.2884543937548678,0.15511512408151112
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.5591238731335701,0.27265662159475695,0.15244882630157472
VAR_CURV_10_20_30,0.7387008612975055,0.20280285426279798,0.14981064311752135
VR_SLOPE_50_100,0.6126115979907857,0.23696134144949718,0.14516526604741667
MA5_RESID_VAR_over_RV1_log1p,0.48267504636178604,0.29584902196783147,0.1427989403944121
ACF_LAG3_D5,0.5732838370688105,0.2454428155216851,0.1407083990632438
VR10_log1p,0.4854779955911256,0.28465435696220087,0.13819342665429005
AR1_R2,0.4610742730985324,0.288674013750088,0.13310016105225755
MA8_VAR_over_RV1_CONTR_D5_minus_D1,0.5265454295653451,0.2497163649997841,0.13148701067830784
MA8_VAR_over_RV1_log1p,0.45795922862190186,0.28086046527066716,0.1286226420257432
VR20_log1p,0.46778788545542793,0.26688646930071314,0.12484625713084559
MA3_VAR_over_RV1_D2,0.45905658703962715,0.26544851894315974,0.12185589114077072
ACFCONTR_L2_D5_minus_D1,0.523885257483338,0.23250877089423183,0.12180791730705909
MA8_VAR_over_RV1_CONTR_D8_minus_D1,0.5000430080392652,0.2420272581920372,0.12102403821384215
HAAR_v4_over_RV1_log1p,0.4544546037835223,0.2653189744931821,0.12057542942954953
ACF_LAG2_Z,0.4390283513319395,0.2702840101453257,0.11866234336548756
MA8_RESID_VAR_over_RV1_log1p,0.43566010970419916,0.27148168928808936,0.11827374253793031
ACFCONTR_L2_D8_minus_D1,0.5131214427448864,0.22775354364330852,0.11686522690451491
VR30_log1p,0.44980180078285875,0.2577771490423019,0.11594862583989878
VR50_log1p,0.4400121700084864,0.25116215156281146,0.11051440333315303
BP_HF_over_LF_log1p,0.4433046443592441,0.24737357589518896,0.10966185508609122
ACC3_OVER_ACC2_RATIO_g4_log1p,0.44244316515935217,0.2477182615747439,0.10960125171890202
VR100_log1p,0.437311286234983,0.2496252547112708,0.10916394121452108
MA3_RESID_VAR_log1p,0.37481329848459966,0.2892158370706119,0.10840194186642059
ACCVAR_NORM_g6_log1p,0.4124217080932793,0.2609882671331099,0.10763722692334227
HAAR_v3_over_RV1_log1p,0.43175610127495817,0.23933217960502917,0.10333312877590545
ACCVAR_NORM_g4_log1p,0.429437677944996,0.23876644088455815,0.1025353059446558
MA5_VAR_over_RV1_D2,0.4135812792296885,0.2468770599212126,0.10210373025467957
ACFCONTR_L3_D2_minus_D1,0.4513276671912782,0.22182358936166754,0.10011512311459744
ACF_LAG2_D8,0.43872130146009575,0.22315921896992585,0.09790470297930436
VR50_D8,0.4333204666441473,0.21771651919314475,0.09434102369291293
ACC3VAR_NORM_g4_log1p,0.40457682608896167,0.22931510471152983,0.09277557723844863
AR1_RESID_VAR,0.3425683999137689,0.2611155411266023,0.08944993311635807
ACC3VAR_NORM_g6_log1p,0.3810333604414177,0.23289228949588098,0.08873973168751102
MA8_VAR_over_RV1_D2,0.375571336080178,0.23614761976685775,0.08869027706799262
VR_AREA_DEF_5_50_D2,0.3967254373079134,0.22261004558840772,0.08831506768519558
VR10_D2,0.3717392847313547,0.23431475379407998,0.08710399897741478
MA5_RESID_VAR_log1p,0.33192970645667924,0.2542899323886766,0.08440638261266223
ACC3_OVER_ACC2_RATIO_g6_log1p,0.3604965600711506,0.23028777883559437,0.08301795209665769
ACFCONTR_L4_D2_minus_D1,0.3745490940404261,0.2103061066078962,0.07876996170115678
VR50_D5,0.35719395657060815,0.2162657198244537,0.07724880813468722
VR50_D2,0.3489808651749718,0.2196600525562351,0.0766571551854547
ACF_LAG3_Z,0.30938535302584547,0.24707693800711608,0.07644198568987655
ACFCONTR_L3_D5_minus_D1,0.3639785737055518,0.20543926564883552,0.07477549089397911
ACFCONTR_L5_D2_minus_D1,0.3550651874849801,0.2096954210870571,0.07445554400301778
ACF_LAG1_D5,0.33493316072238977,0.2175984829239731,0.07288094765412327
ACC3VAR_NORM_g2_log1p,0.29817632888031936,0.24440102887380397,0.0728746015641638
ACFCONTR_L3_D8_minus_D1,0.34905871661938886,0.20671934615174534,0.07215718966812742
MA8_RESID_VAR_log1p,0.3091633225243024,0.23158818145420157,0.07159857163574199
MA3_VAR_over_RV1_D5,0.3293156808419243,0.21340345595668025,0.07027710439239376
VR_AREA_DEF_5_50_D5,0.3234833775928366,0.2099612387428691,0.06791897067211923
BP_HF_log1p,0.282353886662465,0.23266534459298407,0.06569396433749079
VR_AREA_DEF_5_50_D8,0.31098167090297796,0.20903458337375164,0.06500592401407713
VR10_D8,0.3135420101665465,0.20494627635164395,0.06425926746344299
MA5_VAR_over_RV1_D5,0.3020035966556533,0.20863378091796725,0.06300815222109371
VR10_D5,0.30162627066358455,0.2069804898778376,0.06243075326197397
MA8_VAR_over_RV1_D5,0.30012862992940453,0.20749250110706005,0.062274440077887384
MA8_VAR_over_RV1_D8,0.30075228327831016,0.202379854021173,0.06086620318639888
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.2803932228459788,0.21474860595458986,0.060214053725288604
ACFCONTR_L4_D5_minus_D1,0.31286421045773644,0.19201650170451715,0.06007509120064036
IQR_r1_log1p,0.3132349110571195,0.19014187689633813,0.059559073897858236
MAD_r1_log1p,0.3128208045945632,0.1903513496628005,0.05954586235717829
VR_SLOPE_10_50_D2,0.29725749635685794,0.19972530568844488,0.05936984432805524
MA5_VAR_over_RV1_D8,0.28867734094403286,0.20433498977910472,0.05898688151125808
PROXY_a_sqrtNegLogRatio_21_log1p,0.2403423596941132,0.24078369498908603,0.057870521429544554
MA3_VAR_over_RV1_D8,0.2805372227433752,0.20312814744975427,0.05698500634656088
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.2646677844175306,0.21374565226455747,0.05657158821374035
ACFCONTR_L4_D8_minus_D1,0.28532194152418966,0.19801982190312944,0.05649940004567515
VR_CURV_10_30_50,0.2553298804018532,0.21609756807358318,0.05517616621135933
HAAR_v2_over_RV1_log1p,0.25537523834146664,0.21027422285398487,0.053698829778403054
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.2555037141987263,0.20961555351965347,0.05355755247809336
ACFCONTR_L5_D8_minus_D1,0.25928064937546885,0.2047006669246799,0.05307492184782256
PROXY_a_sqrtNegLogRatio_31_log1p,0.22639785738994705,0.2322286911405582,0.052576078098694155
ACF_LAG1_D8,0.26329890244458987,0.19878832737624072,0.05234074841696
ACFCONTR_L5_D5_minus_D1,0.26605346722539797,0.19125615167134385,0.05088436228034762
ACF_LAG4_Z,0.22191823920261383,0.2284513862737855,0.05069752938527466
ACCVAR_NORM_g2_log1p,0.24242942757667282,0.209000190525894,0.050667796552608044
VR_SLOPE_10_50,0.24046836107828037,0.19684870942726407,0.04733588653634883
ACF_LAG2_D2,0.2274644358033762,0.20801043845687223,0.047314977024805346
ACF_LAG5_D2,0.218994916437859,0.21232266015981546,0.046497583219562724
LOG_a,0.2316052791666119,0.1981221473217193,0.04588613523953541
HALF_LOG_a,0.2316052791666119,0.1981221473217193,0.04588613523953541
RV1_log1p,0.2504309739630494,0.17560422517105254,0.04397673714161333
ACF_LAG5_Z,0.19328823526980965,0.22151587351953764,0.04281641227684179
ACF_LAG2_D5,0.18717777145467543,0.17704419059044857,0.03313873704371698
ACF_LAG4_D2,0.162909036540924,0.19203728547034085,0.03128460915590761
ACF_LAG3_D2,0.1635480967609191,0.18332580912904425,0.02998258717021072
BP_MID_log1p,0.13516180818690313,0.11850848824764385,0.016017821557047902
COV_LAG5,0.1234567863811049,0.09790800770651512,0.012087407992422809
COV_LAG2,0.12787003993369322,0.08228663413560255,0.010521995192928704
COV_LAG3,0.12144263152996274,0.08090678023297744,0.009825532300109152
COV_LAG1,0.11902322468436327,0.08185261467833065,0.009742362147861559
COV_LAG4,0.11612881236649875,0.08375142404737196,0.00972595340862433
NEG_ACF_MASS_L1_5_log1p,0.09072106286203926,0.09182104175110271,0.00833010250075972
MA3_VAR_log1p,0.09918505458674463,0.07724852090838077,0.007661898763043031
MA5_VAR_log1p,0.061034326641497084,0.050697405917338276,0.0030942820326353916
HALF_LOG_deltaHat31,0.06788254116406223,0.039634491267052305,0.002690489984952343
LOG_deltaHat31,0.06788254116406223,0.039634491267052305,0.002690489984952343
HL_PROXY31_log1p,0.05895742220372639,0.04138983158106027,0.0024402377754656986
MA3_VAR_D2,0.05176968955961072,0.04363561449845189,0.0022590022163277027
HL_PROXY21_log1p,0.044825721660389894,0.034780851165020145,0.0015590767534346406
MA8_VAR_log1p,0.03968518558942754,0.034254597339415674,0.0013594000527058219
HALF_LOG_deltaHat21,0.03383543931167068,0.03031824500474469,0.0010258311388944017
LOG_deltaHat21,0.03383543931167068,0.03031824500474469,0.0010258311388944017
MA5_VAR_D2,0.0325105118863969,0.028323620266270822,0.0009208153933323896
MA3_VAR_D5,0.025533461720887645,0.022949822302603937,0.0005859884092647112
MA8_VAR_D2,0.02482465816893329,0.021920757671815304,0.0005441753160068368
BP_LF_log1p,0.022396593671847275,0.021365840467548122,0.0004785220474091867
MA3_VAR_D8,0.019441910120876187,0.01731416946699577,0.0003366205265949505
MA5_VAR_D5,0.01877968553216217,0.01681791788272891,0.0003158352091433755
MA8_VAR_D5,0.015669766413302814,0.014565621871050845,0.00022823989238386142
MA5_VAR_D8,0.015651328319990918,0.014548642475257171,0.00022770557999041534
MA8_VAR_D8,0.014992038667095173,0.014089030088967633,0.0002112232838756701
VARFIT_SLOPE_10_50,0.013278182803256348,0.012467701186229032,0.0001655484154871251
VARFIT_TS_SLOPE_10_50,0.01318091460613723,0.012442814770557878,0.0001640076789507064
VR_AREA_DEF_5_50_log1p,0.0,0.0,0.0
