,semi_delta,share_delta,score_delta
MA3_VAR_over_RV1_CONTR_D5_minus_D1,1.1013347682393109,0.427808221625302,0.47116006861457377
ACFCONTR_L4_D8_minus_D1,0.8226886254943544,0.5709643437580176,0.4697258711725696
VR50_D2,0.8632055666380958,0.543330019081394,0.4690054969926421
MA3_VAR_over_RV1_CONTR_D8_minus_D1,1.077662841914271,0.43108332355492157,0.464562479564046
ACFCONTR_L5_D5_minus_D1,0.8029148300918144,0.5771862405127566,0.4634313922326331
MA3_VAR_over_RV1_D5,0.8420285902351279,0.5456521557403822,0.4594547154568324
MA3_VAR_over_RV1_CONTR_D2_minus_D1,1.1566688460514138,0.3948075370690396,0.4566615783140468
ACC3VAR_NORM_g6_log1p,0.8621458971966013,0.5269542059125478,0.45431140663799613
ACF_LAG1_D5,0.8360106128772089,0.543137146163924,0.45406841844088025
ACF_LAG2_D8,0.9379686160559371,0.4771054951759248,0.4475099810228448
VR_SLOPE_50_100,1.0724035200764381,0.4148112401494197,0.44484503410351045
ACFCONTR_L1_D5_minus_D1,1.120945319980471,0.39607681665518363,0.44398045398239117
ACC3_OVER_ACC2_RATIO_g4_log1p,0.8888424812287038,0.4976515213755298,0.44233381304666525
VR10_D2,0.8365851384215386,0.5273164521169459,0.4411451070862098
VR10_D5,0.7958096927102284,0.5460965972370815,0.4345889652373432
MA8_VAR_over_RV1_D5,0.7925030362886841,0.5478932055670831,0.43420702897385355
MA5_VAR_over_RV1_D5,0.7923111581245115,0.5473539865536429,0.43367467099038504
BP_HF_over_LF_log1p,0.8811240642060914,0.49168627792071473,0.4332366115158659
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.9425492328175658,0.459633905571716,0.4332275850735624
MA8_VAR_over_RV1_D2,0.8300047240389224,0.5218812543649385,0.43316390651025743
VR50_D5,0.8408119261939604,0.5090757923262271,0.4280369975245316
VR_AREA_DEF_5_50_D5,0.8116668227135256,0.5268232723782293,0.4276049716227797
MA5_VAR_over_RV1_D2,0.8449305372090512,0.5043602729125839,0.4261493963389332
MA3_VAR_over_RV1_D8,0.765431009732583,0.5542244322772175,0.4242205668164182
MA5_VAR_over_RV1_D8,0.7655120303125323,0.5418537263027479,0.4147955461544277
MA8_VAR_over_RV1_D8,0.7850263620099783,0.5282537469527157,0.41469311718843005
VR50_D8,0.9076325241798268,0.4560287571950732,0.4139065319915536
ACF_LAG1_D8,0.7397281662271776,0.5584881802093357,0.4131294374058054
VR10_D8,0.7947042584035494,0.5194572761528458,0.4128149094173751
