depth,width,dropout,residual,lr,weight_decay,lambda_e,lambda_eta,lambda_d,best_val_loss,val_mse_e,val_mse_eta,val_mse_d,best_epoch
2,64,0.1,False,0.001,0.001,1.0,1.0,2.0,0.09913718183007506,0.0034828652472545705,0.028203531220141385,0.033725392927105226,54
2,64,0.1,False,0.0003,0.0,1.0,1.0,1.0,0.06047863213138448,0.0028328835550281736,0.02479020627732906,0.03285554237663746,98
2,64,0.1,False,0.0003,0.0,1.0,1.0,2.0,0.0905341390106413,0.0031197468860126617,0.02480599126364622,0.031304200671406254,119
2,64,0.1,False,0.0003,0.0001,1.0,1.0,1.0,0.058536043080190815,0.003355679736058745,0.023653283663507964,0.03152708005574015,187
2,64,0.1,False,0.0003,0.0001,1.0,1.0,2.0,0.08690477597216766,0.0028808046287546554,0.023753118235617876,0.030135426618572738,239
2,64,0.1,False,0.0003,0.001,1.0,1.0,1.0,0.06145412433478567,0.0028438502211227184,0.025569614592111774,0.03304065968323913,117
2,64,0.1,False,0.0003,0.001,1.0,1.0,2.0,0.09594517666846514,0.004997438912849045,0.02597253888638483,0.03248759961893989,105
2,64,0.1,True,0.001,0.0,1.0,1.0,1.0,0.05758769282450279,0.001235557530890219,0.023585368413478136,0.03276676666508946,123
2,64,0.1,True,0.001,0.0,1.0,1.0,2.0,0.08902031214286883,0.0016203179159977783,0.024989307444128726,0.03120534344472819,124
2,64,0.1,True,0.001,0.0001,1.0,1.0,1.0,0.05737086209572024,0.0014508166576787415,0.023310146320404276,0.0326098986228721,83
2,64,0.1,True,0.001,0.0001,1.0,1.0,2.0,0.09249494431747331,0.002319106586380965,0.025254201118109956,0.03246081780849232,55
2,64,0.1,True,0.001,0.001,1.0,1.0,1.0,0.05770511863132318,0.0016174063995195967,0.02322098219560252,0.032866730380596385,169
2,64,0.1,True,0.001,0.001,1.0,1.0,2.0,0.09025055159711176,0.002381743559251643,0.024387039063084457,0.03174088429659605,124
2,64,0.1,True,0.0003,0.0,1.0,1.0,1.0,0.05569206473107139,0.0013302093413787791,0.023035118873748515,0.03132673629766537,152
2,64,0.1,True,0.0003,0.0,1.0,1.0,2.0,0.08201765258693033,0.0015394565109292874,0.022620618214002915,0.028928789051456585,198
2,64,0.1,True,0.0003,0.0001,1.0,1.0,1.0,0.057587376330047846,0.001504318565518285,0.023094010358262394,0.03298904751944873,107
2,64,0.1,True,0.0003,0.0001,1.0,1.0,2.0,0.08945700774590175,0.0016875550726480368,0.023978937262048323,0.031895257972387805,92
2,64,0.1,True,0.0003,0.001,1.0,1.0,1.0,0.05795540505399307,0.0020848974155443204,0.02315747494705849,0.03271303245694273,177
2,64,0.1,True,0.0003,0.001,1.0,1.0,2.0,0.08960455211086406,0.0022671850876779193,0.024091877431298297,0.031622744915593,116
2,128,0.0,False,0.001,0.0,1.0,1.0,1.0,0.05265751926021443,0.0012776746750912732,0.023014539723388024,0.028365305029890604,73
2,128,0.0,False,0.001,0.0,1.0,1.0,2.0,0.08436630604167779,0.0018070778977643284,0.02265346316724188,0.029952882297544017,34
2,128,0.0,False,0.001,0.0001,1.0,1.0,1.0,0.05124849655355016,0.0013588583759782421,0.0223162478974296,0.027573389854903024,89
2,128,0.0,False,0.001,0.0001,1.0,1.0,2.0,0.07741674584233099,0.0014910422905813903,0.022301582334977057,0.02681206042567889,101
2,128,0.0,False,0.001,0.001,1.0,1.0,1.0,0.05463416175916791,0.0013873945863451809,0.022939022061311536,0.030307744888381824,59
2,128,0.0,False,0.001,0.001,1.0,1.0,2.0,0.08026106200284427,0.0016471642318518004,0.02437146396065752,0.02712121673135294,98
2,128,0.0,False,0.0003,0.0,1.0,1.0,1.0,0.0530203849905067,0.0011268512656291325,0.0221310550502191,0.029762478519438043,76
2,128,0.0,False,0.0003,0.0,1.0,1.0,2.0,0.07687980640265676,0.0011183826281921938,0.021503386087715626,0.02712901875687142,122
2,128,0.0,False,0.0003,0.0001,1.0,1.0,1.0,0.048500423371377915,0.0008116482883148516,0.021529766627483897,0.02615900829227434,206
2,128,0.0,False,0.0003,0.0001,1.0,1.0,2.0,0.07442827822847499,0.0009283517606996207,0.021019914575542014,0.026240005649419293,155
2,128,0.0,False,0.0003,0.001,1.0,1.0,1.0,0.05139838169432349,0.001085615733043394,0.021560876035234995,0.02875188968351318,168
2,128,0.0,False,0.0003,0.001,1.0,1.0,2.0,0.07798329564846224,0.001373470599193954,0.021659473422914743,0.0274751759134233,174
2,128,0.0,True,0.001,0.0,1.0,1.0,1.0,0.051089216489344835,0.0015781596205973376,0.02154130972404447,0.027969747574792966,56
2,128,0.0,True,0.001,0.0,1.0,1.0,2.0,0.07468649093061686,0.0009494175529754204,0.021964039963980515,0.025886516785249114,120
2,128,0.0,True,0.001,0.0001,1.0,1.0,1.0,0.048886792889485754,0.0007790710038130379,0.021487458117513195,0.026620263725312218,109
2,128,0.0,True,0.001,0.0001,1.0,1.0,2.0,0.0815502234424154,0.0009317754011135548,0.024339360029747088,0.028139543848940067,67
2,128,0.0,True,0.001,0.001,1.0,1.0,1.0,0.05298935523670581,0.0011476764322853545,0.021588362598170836,0.03025331586185429,134
2,128,0.0,True,0.001,0.001,1.0,1.0,2.0,0.07973740136043893,0.0016199916167857333,0.022382228790471952,0.027867590284181967,116
2,128,0.0,True,0.0003,0.0,1.0,1.0,1.0,0.05221428147827586,0.0008406087824065859,0.021783229351664584,0.029590444044313498,126
2,128,0.0,True,0.0003,0.0,1.0,1.0,2.0,0.07878798556824525,0.0011573603955589028,0.021932543539959524,0.027849040847892564,145
2,128,0.0,True,0.0003,0.0001,1.0,1.0,1.0,0.0525189900977744,0.0008092593165606053,0.021962005670906767,0.029747725076352555,129
2,128,0.0,True,0.0003,0.0001,1.0,1.0,2.0,0.07828275859355927,0.0012785875603892943,0.021577084152441885,0.02771354342500369,121
2,128,0.0,True,0.0003,0.001,1.0,1.0,1.0,0.050518692885008126,0.001029156880880085,0.02107421419997182,0.028415321682890255,196
2,128,0.0,True,0.0003,0.001,1.0,1.0,2.0,0.08141093918432792,0.001207214164120766,0.022298189759668376,0.02895276750334435,164
2,128,0.1,False,0.001,0.0,1.0,1.0,1.0,0.058591771560410656,0.0018700569053180516,0.024453957616868947,0.03226775676012039,50
2,128,0.1,False,0.001,0.0,1.0,1.0,2.0,0.08873848472204474,0.0028715648578428146,0.024501929835726816,0.030682494993218117,80
2,128,0.1,False,0.001,0.0001,1.0,1.0,1.0,0.057121365486333765,0.002285855130240735,0.023150682216510177,0.03168482809431023,92
2,128,0.1,False,0.001,0.0001,1.0,1.0,2.0,0.0871850707464748,0.003184988771358298,0.023783842955405515,0.030108119050661724,89
